"주차장코드","주차장명","주소","주차장 종류","주차장 종류명","운영구분","운영구분명","전화번호","주차현황 정보 제공여부","주차현황 정보 제공여부명","총 주차면","유무료구분","유무료구분명","야간무료개방여부","야간무료개방여부명","평일 운영 시작시각(HHMM)","평일 운영 종료시각(HHMM)","주말 운영 시작시각(HHMM)","주말 운영 종료시각(HHMM)","공휴일 운영 시작시각(HHMM)","공휴일 운영 종료시각(HHMM)","최종데이터 동기화 시간","토요일 유,무료 구분","토요일 유,무료 구분명","공휴일 유,무료 구분","공휴일 유,무료 구분명","월 정기권 금액","노상 주차장 관리그룹번호","기본 주차 요금","기본 주차 시간(분 단위)","추가 단위 요금","추가 단위 시간(분 단위)","버스 기본 주차 요금","버스 기본 주차 시간(분 단위)","버스 추가 단위 시간(분 단위)","버스 추가 단위 요금","일 최대 요금","위도","경도"
"1042421","언주초 공영주차장(구)","강남구 도곡동 922-0","NW","노외 주차장","1","시간제 주차장","02-3423-6403","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","203","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2020-07-08 18:22:55","N","무료","N","무료","120000","","200","5","200","5","0","0","0","0","","",""
"1051043","구파발역 공영주차장(시)","은평구 진관동 70-1","NW","노외 주차장","1","시간제 주차장","02-2290-6088","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","399","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2026-04-08 18:04:02","N","무료","N","무료","109000","","240","5","240","5","0","0","0","0","0","37.638209","126.918987"
"1052723","살곶이(평면) 공영주차장(구)","성동구 사근동 104-0","NW","노외 주차장","1","시간제 주차장","02-2204-7970","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","203","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2025-02-13 16:03:00","N","무료","N","무료","","","50","5","","","0","0","0","0","","",""
"1052741","마장축산물시장(건물) 공영주차장(구)","성동구 마장동 525-1","NW","노외 주차장","1","시간제 주차장","02-2204-7970","2","20~120분이내 연계데이터 존재(정보수집중)","107","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2023-06-28 13:29:00","N","무료","N","무료","30000","","250","5","","","0","0","0","0","","",""
"1053712","볏골공원 지하공영주차장(구)","강서구 화곡동 98-99","NW","노외 주차장","3","시간제 + 거주자 주차장","02-2065-1575","0","미연계중","219","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2025-07-16 10:52:43","N","무료","N","무료","60000","","100","5","100","5","0","0","0","0","","",""
"1140909","잠원동 방음언덕형 공영주차장(구)","서초구 잠원동 10-33","NW","노외 주차장","1","시간제 주차장","070-7119-3701","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","92","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2026-06-17 17:32:22","N","무료","N","무료","120000","","150","5","150","5","0","0","0","0","0","",""
"1140911","반포서래 공영주차장(구)","서초구 반포동 95-13","NW","노외 주차장","1","시간제 주차장","02-1588-5783","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","7","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2026-06-12 18:25:46","N","무료","N","무료","","","150","5","150","5","0","0","0","0","","",""
"1163833","봉천복개3 공영주차장(시)","관악구 신림동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2026-04-07 11:09:54","N","무료","Y","유료","162000","1162010200001","220","5","220","5","0","0","0","0","","37.48964379","126.92595452"
"1163833","봉천복개3 공영주차장(시)","관악구 신림동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2026-04-07 11:09:54","N","무료","Y","유료","162000","1162010200001","220","5","220","5","0","0","0","0","","37.48968198","126.92569472"
"1163833","봉천복개3 공영주차장(시)","관악구 신림동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2026-04-07 11:09:54","N","무료","Y","유료","162000","1162010200001","220","5","220","5","0","0","0","0","","37.48773442","126.9312163"
"1163833","봉천복개3 공영주차장(시)","관악구 신림동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2026-04-07 11:09:54","N","무료","Y","유료","162000","1162010200001","220","5","220","5","0","0","0","0","","37.48804535","126.93144118"
"1163833","봉천복개3 공영주차장(시)","관악구 신림동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2026-04-07 11:09:54","N","무료","Y","유료","162000","1162010200001","220","5","220","5","0","0","0","0","","37.48809036","126.93134306"
"1163833","봉천복개3 공영주차장(시)","관악구 신림동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2026-04-07 11:09:54","N","무료","Y","유료","162000","1162010200001","220","5","220","5","0","0","0","0","","37.48695963","126.93295437"
"1163833","봉천복개3 공영주차장(시)","관악구 신림동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2026-04-07 11:09:54","N","무료","Y","유료","162000","1162010200001","220","5","220","5","0","0","0","0","","37.48685341","126.93319061"
"1163833","봉천복개3 공영주차장(시)","관악구 신림동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2026-04-07 11:09:54","N","무료","Y","유료","162000","1162010200001","220","5","220","5","0","0","0","0","","37.48800038","126.93153933"
"1163833","봉천복개3 공영주차장(시)","관악구 신림동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2026-04-07 11:09:54","N","무료","Y","유료","162000","1162010200001","220","5","220","5","0","0","0","0","","37.48968909","126.92563338"
"1163833","봉천복개3 공영주차장(시)","관악구 신림동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2026-04-07 11:09:54","N","무료","Y","유료","162000","1162010200001","220","5","220","5","0","0","0","0","","37.48756582","126.93159339"
"1163833","봉천복개3 공영주차장(시)","관악구 신림동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2026-04-07 11:09:54","N","무료","Y","유료","162000","1162010200001","220","5","220","5","0","0","0","0","","37.48687558","126.93314145"
"1163833","봉천복개3 공영주차장(시)","관악구 신림동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2026-04-07 11:09:54","N","무료","Y","유료","162000","1162010200001","220","5","220","5","0","0","0","0","","37.48895446","126.92946057"
"1163833","봉천복개3 공영주차장(시)","관악구 신림동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2026-04-07 11:09:54","N","무료","Y","유료","162000","1162010200001","220","5","220","5","0","0","0","0","","37.4884149","126.93064183"
"1163833","봉천복개3 공영주차장(시)","관악구 신림동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2026-04-07 11:09:54","N","무료","Y","유료","162000","1162010200001","220","5","220","5","0","0","0","0","","37.48758782","126.93154407"
"1163833","봉천복개3 공영주차장(시)","관악구 신림동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2026-04-07 11:09:54","N","무료","Y","유료","162000","1162010200001","220","5","220","5","0","0","0","0","","37.48893304","126.92950996"
"1163833","봉천복개3 공영주차장(시)","관악구 신림동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2026-04-07 11:09:54","N","무료","Y","유료","162000","1162010200001","220","5","220","5","0","0","0","0","","37.48806796","126.93139234"
"1163833","봉천복개3 공영주차장(시)","관악구 신림동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2026-04-07 11:09:54","N","무료","Y","유료","162000","1162010200001","220","5","220","5","0","0","0","0","","37.48877237","126.92985014"
"1163833","봉천복개3 공영주차장(시)","관악구 신림동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2026-04-07 11:09:54","N","무료","Y","유료","162000","1162010200001","220","5","220","5","0","0","0","0","","37.48843885","126.93059243"
"1163833","봉천복개3 공영주차장(시)","관악구 신림동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2026-04-07 11:09:54","N","무료","Y","유료","162000","1162010200001","220","5","220","5","0","0","0","0","","37.48741271","126.93289825"
"1163833","봉천복개3 공영주차장(시)","관악구 신림동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2026-04-07 11:09:54","N","무료","Y","유료","162000","1162010200001","220","5","220","5","0","0","0","0","","37.48811293","126.93129419"
"1163833","봉천복개3 공영주차장(시)","관악구 신림동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2026-04-07 11:09:54","N","무료","Y","유료","162000","1162010200001","220","5","220","5","0","0","0","0","","37.48881637","126.92975142"
"1163833","봉천복개3 공영주차장(시)","관악구 신림동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2026-04-07 11:09:54","N","무료","Y","유료","162000","1162010200001","220","5","220","5","0","0","0","0","","37.48750347","126.93269465"
"1163833","봉천복개3 공영주차장(시)","관악구 신림동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2026-04-07 11:09:54","N","무료","Y","유료","162000","1162010200001","220","5","220","5","0","0","0","0","","37.48848513","126.93049361"
"1163833","봉천복개3 공영주차장(시)","관악구 신림동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2026-04-07 11:09:54","N","무료","Y","유료","162000","1162010200001","220","5","220","5","0","0","0","0","","37.48719836","126.93242431"
"1163833","봉천복개3 공영주차장(시)","관악구 신림동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2026-04-07 11:09:54","N","무료","Y","유료","162000","1162010200001","220","5","220","5","0","0","0","0","","37.48794759","126.93074705"
"1163833","봉천복개3 공영주차장(시)","관악구 신림동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2026-04-07 11:09:54","N","무료","Y","유료","162000","1162010200001","220","5","220","5","0","0","0","0","","37.48745265","126.93184686"
"1163833","봉천복개3 공영주차장(시)","관악구 신림동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2026-04-07 11:09:54","N","무료","Y","유료","162000","1162010200001","220","5","220","5","0","0","0","0","","37.48802277","126.93149005"
"1163833","봉천복개3 공영주차장(시)","관악구 신림동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2026-04-07 11:09:54","N","무료","Y","유료","162000","1162010200001","220","5","220","5","0","0","0","0","","37.48962361","126.92608617"
"1163833","봉천복개3 공영주차장(시)","관악구 신림동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2026-04-07 11:09:54","N","무료","Y","유료","162000","1162010200001","220","5","220","5","0","0","0","0","","37.48767029","126.9313598"
"1163833","봉천복개3 공영주차장(시)","관악구 신림동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2026-04-07 11:09:54","N","무료","Y","유료","162000","1162010200001","220","5","220","5","0","0","0","0","","37.4884613","126.93054304"
"1163833","봉천복개3 공영주차장(시)","관악구 신림동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2026-04-07 11:09:54","N","무료","Y","유료","162000","1162010200001","220","5","220","5","0","0","0","0","","37.48953571","126.92657092"
"1163833","봉천복개3 공영주차장(시)","관악구 신림동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2026-04-07 11:09:54","N","무료","Y","유료","162000","1162010200001","220","5","220","5","0","0","0","0","","37.48904612","126.92925705"
"1163833","봉천복개3 공영주차장(시)","관악구 신림동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2026-04-07 11:09:54","N","무료","Y","유료","162000","1162010200001","220","5","220","5","0","0","0","0","","37.48717617","126.9324736"
"1163833","봉천복개3 공영주차장(시)","관악구 신림동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2026-04-07 11:09:54","N","무료","Y","유료","162000","1162010200001","220","5","220","5","0","0","0","0","","37.48900089","126.92935881"
"1163833","봉천복개3 공영주차장(시)","관악구 신림동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2026-04-07 11:09:54","N","무료","Y","유료","162000","1162010200001","220","5","220","5","0","0","0","0","","37.48792604","126.93079671"
"1163833","봉천복개3 공영주차장(시)","관악구 신림동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2026-04-07 11:09:54","N","무료","Y","유료","162000","1162010200001","220","5","220","5","0","0","0","0","","37.48704645","126.93275869"
"1163833","봉천복개3 공영주차장(시)","관악구 신림동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2026-04-07 11:09:54","N","무료","Y","유료","162000","1162010200001","220","5","220","5","0","0","0","0","","37.48855776","126.93033953"
"1163833","봉천복개3 공영주차장(시)","관악구 신림동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2026-04-07 11:09:54","N","무료","Y","유료","162000","1162010200001","220","5","220","5","0","0","0","0","","37.48748023","126.93274564"
"1163833","봉천복개3 공영주차장(시)","관악구 신림동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2026-04-07 11:09:54","N","무료","Y","유료","162000","1162010200001","220","5","220","5","0","0","0","0","","37.48958799","126.92630461"
"1163833","봉천복개3 공영주차장(시)","관악구 신림동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2026-04-07 11:09:54","N","무료","Y","유료","162000","1162010200001","220","5","220","5","0","0","0","0","","37.48879434","126.92980078"
"1163833","봉천복개3 공영주차장(시)","관악구 신림동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2026-04-07 11:09:54","N","무료","Y","유료","162000","1162010200001","220","5","220","5","0","0","0","0","","37.48959749","126.92624776"
"1163833","봉천복개3 공영주차장(시)","관악구 신림동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2026-04-07 11:09:54","N","무료","Y","유료","162000","1162010200001","220","5","220","5","0","0","0","0","","37.48961411","126.92614751"
"1163833","봉천복개3 공영주차장(시)","관악구 신림동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2026-04-07 11:09:54","N","무료","Y","유료","162000","1162010200001","220","5","220","5","0","0","0","0","","37.48891161","126.92955784"
"1163833","봉천복개3 공영주차장(시)","관악구 신림동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2026-04-07 11:09:54","N","무료","Y","유료","162000","1162010200001","220","5","220","5","0","0","0","0","","37.4873458","126.93305111"
"1163833","봉천복개3 공영주차장(시)","관악구 신림동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2026-04-07 11:09:54","N","무료","Y","유료","162000","1162010200001","220","5","220","5","0","0","0","0","","37.48783229","126.9310132"
"1163833","봉천복개3 공영주차장(시)","관악구 신림동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2026-04-07 11:09:54","N","무료","Y","유료","162000","1162010200001","220","5","220","5","0","0","0","0","","37.48745665","126.93279646"
"1163833","봉천복개3 공영주차장(시)","관악구 신림동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2026-04-07 11:09:54","N","무료","Y","유료","162000","1162010200001","220","5","220","5","0","0","0","0","","37.48775652","126.93116709"
"1163833","봉천복개3 공영주차장(시)","관악구 신림동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2026-04-07 11:09:54","N","무료","Y","유료","162000","1162010200001","220","5","220","5","0","0","0","0","","37.48702428","126.93280786"
"1163833","봉천복개3 공영주차장(시)","관악구 신림동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2026-04-07 11:09:54","N","무료","Y","유료","162000","1162010200001","220","5","220","5","0","0","0","0","","37.48875039","126.9298996"
"1163833","봉천복개3 공영주차장(시)","관악구 신림동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2026-04-07 11:09:54","N","무료","Y","유료","162000","1162010200001","220","5","220","5","0","0","0","0","","37.48908779","126.92916875"
